ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
11/23/2020,196799.99999999997,Condo,60062,1650,5,2,0,No,2.0,0,1.0,19A
10/16/2020,926804.9999999999,SFH,60026,3828,13,4,1,Yes,4.0,0,3.0,19A
4/10/2020,384374.99999999994,Townhouse,60062,2244,8,2,1,No,3.0,0,2.0,19A
7/20/2020,122999.99999999999,Condo,60076,890,4,1,1,No,2.0,0,0.0,19A
5/30/2017,517688.2457031248,SFH,60062,1748,10,2,1,No,4.0,0,2.0,19A
2/28/2020,737999.9999999999,SFH,60025,3201,8,2,1,No,4.0,0,2.0,19A
7/1/2019,294175.0,SFH,60025,1040,5,1,0,No,3.0,0,2.0,19A
12/8/2020,148625.0,SFH,60002,953,5,1,0,No,2.0,0,2.0,19A
5/15/2020,245487.49999999997,Condo,60076,1400,5,2,0,No,2.0,0,2.0,20A
12/12/2019,736632.0606249999,Townhouse,60062,2392,8,2,2,No,3.0,0,2.0,recent
1/29/2020,645750.0,SFH,60053,3388,10,2,1,No,5.0,0,3.0,19A
5/6/2019,709171.875,SFH,60091,3549,11,3,1,No,5.0,0,1.0,19B
10/4/2019,572590.625,Townhouse,60025,2132,8,2,2,Yes,3.0,0,2.0,19A
1/15/2020,213199.99999999997,SFH,60002,3152,8,3,1,No,4.0,0,2.0,19A
5/10/2018,231531.4843749999,Condo,60077,801,4,1,0,No,1.0,0,1.0,20A
5/22/2020,276750.0,Condo,60062,1225,5,2,0,No,2.0,0,1.0,19A
4/16/2019,367718.75,Townhouse,60091,1666,7,2,1,No,3.0,0,1.0,19A
1/2/2020,635500.0,SFH,60091,2400,11,2,0,No,4.0,0,2.5,19B
6/21/2019,814234.3749999999,SFH,60091,6540,13,4,1,No,5.0,0,2.0,19A
7/20/2017,314586.6738281249,SFH,60076,7001,7,2,0,Yes,3.0,0,0.0,19A
8/22/2019,351959.375,Condo,60062,1900,5,2,2,No,2.0,0,2.0,19A
5/25/2019,1880618.7499999998,SFH,60029,7333,14,4,1,Yes,4.0,1,4.0,recent
5/24/2019,934268.2812499999,Condo,60201,1911,6,2,0,No,2.0,0,1.0,20A
8/28/2020,445874.99999999994,SFH,60053,2875,12,2,1,Yes,4.0,0,2.0,19A
7/25/2019,252149.99999999997,Condo,60053,1790,7,2,0,No,3.0,0,1.0,19A
5/20/2019,325693.75,SFH,60002,4843,13,3,1,Yes,4.0,1,3.0,20A
5/24/2019,330946.875,SFH,60077,1242,7,2,0,Yes,3.0,0,2.0,19A
6/1/2018,286452.9062499999,SFH,60077,930,7,2,0,Yes,2.0,1,1.0,19A
7/12/2017,347701.0605468749,SFH,60076,1430,6,1,1,No,3.0,0,2.0,19A
7/17/2019,261868.28124999997,Condo,60053,1386,5,2,0,No,2.0,0,1.0,20A
3/10/2020,870224.9999999999,SFH,60026,3013,12,3,1,Yes,4.0,1,2.0,20A
5/28/2019,87201.875,SFH,60002,675,4,1,0,No,2.0,0,2.0,19A
3/11/2020,1025617.0499999999,SFH,60062,3050,8,2,1,No,3.0,0,2.0,recent
4/25/2019,747485.016875,SFH,60025,2308,6,2,0,No,2.0,0,2.0,recent
10/6/2020,335175.0,Condo,60201,1540,5,2,0,No,2.0,0,2.0,20A
7/26/2019,278415.625,Condo,60091,1400,4,1,1,No,1.0,0,2.0,19A
6/5/2019,782715.6249999999,SFH,60203,3804,10,3,1,No,5.0,0,2.0,19B
4/11/2019,646134.375,SFH,60062,3034,13,3,1,Yes,4.0,2,2.0,19A
1/7/2021,780000.0,SFH,60025,3208,12,3,0,Yes,3.0,1,2.5,19A
10/30/2020,896874.9999999999,SFH,60201,2498,8,3,1,Yes,3.0,0,2.0,19B
5/8/2019,262656.25,SFH,60077,1515,5,1,1,No,2.0,0,2.0,19A
11/2/2020,1588749.9999999998,SFH,60025,4800,12,4,1,No,4.0,0,3.0,19B
10/15/2018,376911.7187499999,SFH,60062,1288,6,1,0,No,3.0,0,2.0,19A
6/24/2019,604109.375,SFH,60062,3932,11,5,1,Yes,5.0,0,2.5,19A
5/24/2019,835772.1874999999,SFH,60062,3047,9,2,1,No,4.0,0,2.0,19B
8/28/2020,1127500.0,SFH,60062,3696,13,4,1,Yes,4.0,0,2.0,20A
4/1/2019,371395.9375,SFH,60201,1712,7,1,1,No,3.0,0,2.0,19A
9/4/2020,300325.0,SFH,60002,2900,9,2,1,No,4.0,0,3.0,20A
11/28/2018,554598.6718749998,SFH,60076,2493,7,2,0,No,3.0,0,2.5,19A
7/28/2020,733951.2499999999,SFH,60025,3299,12,2,1,No,4.0,0,2.0,19A
7/30/2020,409999.99999999994,SFH,60025,1798,8,2,0,No,3.0,0,1.0,19A
7/22/2020,394624.99999999994,SFH,60062,1271,7,2,0,No,3.0,0,2.0,19A
6/20/2019,281567.5,SFH,60053,1073,7,2,0,Yes,3.0,0,1.0,19A
11/28/2018,656903.2812499998,SFH,60062,2644,10,2,1,No,4.0,0,2.0,19A
8/2/2019,614615.625,SFH,60062,2600,9,2,1,No,4.0,0,2.0,19A
2/5/2020,1793749.9999999998,SFH,60091,8500,13,5,2,Yes,5.0,0,3.0,recent
9/25/2020,538125.0,SFH,60076,1894,9,3,0,Yes,4.0,0,2.0,19A
7/1/2020,363874.99999999994,SFH,60062,1560,7,1,1,No,3.0,0,2.0,19B
4/16/2019,243744.99999999997,SFH,60053,4875,8,1,1,Yes,3.0,0,0.0,19A
11/19/2020,225499.99999999997,SFH,60076,1116,6,2,0,Yes,3.0,0,0.0,19A
8/14/2020,220374.99999999997,Condo,60201,845,3,1,1,No,1.0,0,1.0,20A
11/1/2019,275263.75,SFH,60076,1253,6,1,1,No,2.0,0,1.0,19A
4/15/2019,709171.875,SFH,60201,2432,10,3,1,Yes,4.0,1,2.5,19A
9/29/2017,286991.3515624999,SFH,60076,1658,9,2,0,No,4.0,0,0.0,19A
12/23/2020,287000.0,SFH,60202,2065,7,2,0,Yes,2.0,0,2.0,19B
4/12/2019,751196.875,SFH,60201,2668,12,1,1,No,4.0,0,0.0,Pre1900
6/28/2019,471730.62499999994,SFH,60062,2491,8,2,1,No,3.0,0,1.5,19B
7/15/2019,294175.0,SFH,60002,1904,7,2,0,No,3.0,0,2.0,20A
12/7/2017,1269384.8242187495,SFH,60062,4969,14,5,1,Yes,5.0,1,3.0,recent
9/15/2020,384374.99999999994,SFH,60076,1400,6,1,1,No,3.0,0,2.5,19A
9/21/2020,297250.0,SFH,60202,1025,7,1,0,No,3.0,0,0.0,19A
10/22/2019,165473.4375,SFH,60002,1326,6,1,0,No,3.0,0,2.0,19A
12/17/2020,307500.0,SFH,60025,1432,8,1,1,No,3.0,0,1.0,19A
10/1/2018,516907.4999999998,SFH,60077,1871,8,3,1,Yes,3.0,0,2.5,19A
6/14/2019,745943.75,SFH,60053,3825,11,3,1,Yes,5.0,1,2.0,recent
1/13/2020,404874.99999999994,SFH,60076,2100,9,2,1,No,4.0,0,2.0,19A
9/5/2019,351959.375,SFH,60062,1723,7,2,0,No,3.0,0,2.0,19A
1/14/2019,328320.3125,Townhouse,60202,1865,7,1,1,No,3.0,0,0.0,19A
8/18/2017,237319.7714843749,Townhouse,60077,1116,5,1,1,No,3.0,0,0.0,19A
11/16/2020,1166450.0,SFH,60091,3420,11,5,0,Yes,4.0,2,2.0,20A
1/13/2020,737999.9999999999,SFH,60091,3270,11,3,0,No,4.0,0,2.0,19A
7/17/2020,287000.0,SFH,60076,1037,7,2,0,Yes,2.0,0,0.0,19A
11/16/2018,565367.5781249998,SFH,60062,2699,12,2,1,No,4.0,0,2.0,19A
9/29/2020,664200.0,SFH,60077,2325,8,2,1,No,3.0,0,2.0,recent
10/9/2020,201924.99999999997,Townhouse,60025,1320,5,1,1,No,2.0,0,1.0,19A
3/4/2020,384374.99999999994,SFH,60076,1810,7,2,0,Yes,3.0,0,2.0,19A
3/26/2019,141834.375,Condo,60202,840,5,1,0,No,2.0,0,0.0,19B
12/10/2019,262656.25,SFH,60077,1300,6,1,1,No,3.0,0,2.0,19A
5/29/2020,384374.99999999994,SFH,60076,1554,7,2,0,Yes,3.0,0,2.0,19A
8/27/2020,814874.9999999999,SFH,60076,3885,13,5,0,Yes,5.0,1,2.0,20A
12/17/2018,495369.6874999998,SFH,60062,3287,9,3,0,No,4.0,0,2.0,19A
12/28/2020,275725.0,Condo,60077,1434,5,2,0,No,2.0,0,1.0,20A
10/1/2020,871249.9999999999,SFH,60025,3109,12,3,1,Yes,4.0,0,2.0,20A
6/26/2020,686749.9999999999,SFH,60062,3800,10,3,1,No,4.0,0,2.0,20A
6/21/2019,1486634.375,SFH,60091,4189,9,5,0,Yes,5.0,0,2.0,19B
5/11/2018,438294.4843749999,SFH,60077,1800,10,2,1,No,4.0,0,1.0,19A
9/25/2020,195774.99999999997,SFH,60002,1860,7,2,0,No,3.0,0,2.0,19A
1/15/2019,1003346.8749999999,SFH,60091,4400,12,4,1,No,5.0,0,2.0,19A
11/3/2017,800153.9644140622,SFH,60062,3456,10,3,1,Yes,4.0,1,2.0,20A
11/28/2017,342181.9960937499,SFH,60062,1134,6,2,0,No,3.0,0,3.0,19B
5/29/2020,326975.0,SFH,60076,2578,8,2,1,Yes,3.0,1,2.5,19A
9/22/2017,352226.69339843735,SFH,60077,1080,6,2,0,Yes,2.0,0,2.0,19B
9/12/2019,1218725.0,SFH,60025,4000,12,5,0,Yes,5.0,1,2.0,recent
8/10/2020,220374.99999999997,SFH,60002,1630,6,2,1,No,3.0,0,2.0,20A
8/29/2017,309067.6093749999,SFH,60077,1091,7,1,1,Yes,3.0,0,2.0,19A
6/14/2017,1934432.0908203118,SFH,60062,7682,17,7,2,Yes,6.0,1,4.0,20A
9/23/2019,236285.56249999997,SFH,60053,792,4,1,0,No,2.0,0,1.0,19A
7/27/2018,398449.5312499999,SFH,60077,2218,10,2,1,No,3.0,0,2.0,19A
9/12/2019,262656.25,SFH,60002,2056,8,2,2,Yes,4.0,0,2.0,19A
5/31/2019,231137.49999999997,Condo,60203,1500,5,2,0,No,2.0,0,1.0,19A
4/24/2020,130687.49999999999,Condo,60201,980,4,1,0,No,1.0,0,0.0,19B
1/15/2019,241538.68749999997,SFH,60202,1306,6,1,1,No,3.0,0,0.0,19A
10/5/2020,825124.9999999999,SFH,60025,3273,12,3,1,No,3.0,0,1.0,19B
8/23/2019,273687.8125,Townhouse,60091,1288,6,2,1,No,3.0,0,0.0,19A
5/24/2018,656903.2812499998,SFH,60062,2958,9,3,2,Yes,4.0,1,2.0,19A
6/20/2019,330946.875,SFH,60076,1600,8,1,1,No,3.0,0,2.5,19A
12/26/2019,236011.349375,SFH,60002,2986,8,2,1,No,4.0,0,3.0,20A
11/23/2020,276750.0,SFH,60077,1457,7,2,0,No,3.0,0,3.0,19B
11/15/2019,148138.125,Duplex,60002,1205,5,2,1,No,2.0,0,1.0,19A
